"term","estimate","std.error","statistic","p.value","conf.low","conf.high","dataset","RR_fmt"
"PC1",0.915624550769415,0.0396437738002793,-2.22352387157108,0.0261804955434162,0.843164548941564,0.996062724624738,"all 25 districts","0.92 (0.84–1.00)"
"PC2",1.14402929981428,0.0869965248974063,1.54668826730815,0.121938433624313,0.959045165447842,1.34837054751268,"all 25 districts","1.14 (0.96–1.35)"
"PC3",0.809518070372109,0.0882450244944056,-2.3946526667469,0.0166361161619874,0.681296071165705,0.957406890490248,"all 25 districts","0.81 (0.68–0.96)"
"PC1",0.959104198068496,0.0375985429440961,-1.110563173375,0.266756421734789,0.886796171129917,1.03896246313163,"excl. low-effort (n=22)","0.96 (0.89–1.04)"
"PC2",1.12746586834879,0.0805222142700826,1.48993071104112,0.136242455495182,0.965558626270753,1.30532839544688,"excl. low-effort (n=22)","1.13 (0.97–1.31)"
"PC3",0.792730772375171,0.0790307274908629,-2.93900394907324,0.00329268878659713,0.683010128036896,0.917123916430913,"excl. low-effort (n=22)","0.79 (0.68–0.92)"
